,Smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
102,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2O)CC1,434.9310000000002,4.064080000000002,2.0,7.0,6.17134010346468
103,COc1cc(Nc2ncc(Cl)c(-c3cccc(NC(C)=O)c3)n2)ccc1N1CCN(C)CC1,466.9730000000003,4.259400000000004,2.0,7.0,5.330683119433888
104,COc1cc(Nc2ncc(Cl)c(-c3cc(F)cc(CC#N)c3)n2)ccc1N1CCN(C)CC1,466.9480000000003,4.506180000000005,1.0,7.0,7.008773924307505
105,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](NC)CO3)c2n1,506.9940000000003,3.4849200000000007,2.0,9.0,7.2441251443275085
106,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3F)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,622.7419999999997,5.182820000000006,2.0,9.0,9.455931955649724
107,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1C[C@@H]2C[C@H]1CN2C,554.6920000000002,3.922640000000003,2.0,9.0,9.236572006437063
108,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,528.6540000000002,3.473320000000002,2.0,9.0,8.67778070526608
109,Cc1cc(C)c(N(C)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)cc1CO,450.5620000000002,3.9881400000000036,2.0,7.0,7.481486060122112
110,COc1cc(Nc2ncc(Cl)c(-c3cccc(C(=O)O)c3)n2)ccc1N1CCN(C)CC1,453.9300000000003,3.9992000000000028,2.0,7.0,5.283162276700476
111,CCNc1ncc2cc(-c3ccc(-c4cncc(C)n4)cc3Cl)c(=O)n(C[C@H]3CC[C@H](N)CC3)c2n1,504.03800000000035,4.826620000000003,2.0,8.0,6.906578314837765
112,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3F)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,622.7419999999997,5.182820000000006,2.0,9.0,6.886056647693163
113,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1CCN(C)CC1,542.6810000000002,3.7817400000000028,2.0,9.0,6.698970004336019
114,CCn1c(=O)c(-c2ccc(-c3cncs3)cc2Cl)cc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,558.1110000000002,5.7507000000000055,1.0,9.0,7.055517327849832
115,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,386.45500000000004,4.2375000000000025,2.0,5.0,5.0
116,COc1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,448.9580000000003,4.367080000000004,1.0,7.0,6.958607314841775
117,CCN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,408.89700000000016,4.376900000000002,3.0,6.0,7.070581074285707
118,COc1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)C(C)C1,462.9850000000003,4.755580000000005,1.0,7.0,6.899629454882437
119,O=C(c1ccc(CO)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,401.4700000000002,3.0742000000000003,3.0,6.0,6.200659450546418
